Name	Surname	ND1	ND2	ND3	ND4	ND5	EGZ
Name663	Surname663	7	3	1	1	6	3
Name664	Surname664	1	6	7	2	1	5
Name665	Surname665	10	5	1	3	7	7
Name666	Surname666	5	1	8	3	7	7
Name667	Surname667	9	6	2	1	1	3
Name668	Surname668	2	4	9	5	4	6
Name669	Surname669	1	9	8	1	6	4
Name670	Surname670	6	7	4	1	3	10
Name671	Surname671	10	4	8	10	4	10
Name672	Surname672	4	1	3	6	2	2
Name673	Surname673	9	4	4	8	5	7
Name674	Surname674	8	2	10	5	7	2
Name675	Surname675	3	9	3	6	8	8
Name676	Surname676	9	5	3	1	7	6
Name677	Surname677	1	6	7	1	8	3
Name678	Surname678	5	5	5	1	6	1
Name679	Surname679	7	7	3	7	4	2
Name680	Surname680	8	6	6	6	5	9
Name681	Surname681	10	10	9	2	3	8
Name682	Surname682	8	10	3	2	9	3
Name683	Surname683	10	8	10	10	1	1
Name684	Surname684	7	5	3	6	4	6
Name685	Surname685	2	10	8	9	5	10
Name686	Surname686	2	10	9	8	10	7
Name687	Surname687	10	6	7	5	8	5
Name688	Surname688	5	9	7	6	2	5
Name689	Surname689	10	9	9	8	4	5
Name690	Surname690	6	8	8	6	2	4
Name691	Surname691	4	8	10	7	6	4
Name692	Surname692	5	1	3	5	10	9
Name693	Surname693	1	5	3	7	2	6
Name694	Surname694	7	2	1	6	1	5
Name695	Surname695	9	8	1	9	2	8
Name696	Surname696	3	9	1	2	2	10
Name697	Surname697	2	1	4	3	4	3
Name698	Surname698	3	9	2	9	8	6
Name699	Surname699	7	3	7	5	8	5
Name700	Surname700	4	8	1	6	5	4
Name701	Surname701	8	4	9	1	6	7
Name702	Surname702	9	3	7	9	2	3
Name703	Surname703	7	7	3	5	4	1
Name704	Surname704	3	1	6	2	1	6
Name705	Surname705	9	1	2	4	9	3
Name706	Surname706	9	5	6	8	3	4
Name707	Surname707	9	10	2	7	3	3
Name708	Surname708	2	4	9	6	7	7
Name709	Surname709	9	10	4	6	8	7
Name710	Surname710	10	6	8	8	1	1
Name711	Surname711	3	6	10	4	1	4
Name712	Surname712	8	7	2	6	3	6
Name713	Surname713	10	6	4	6	6	4
Name714	Surname714	7	7	9	6	3	2
Name715	Surname715	1	3	7	9	10	7
Name716	Surname716	3	6	9	9	7	7
Name717	Surname717	2	7	8	2	3	6
Name718	Surname718	3	5	10	3	8	1
Name719	Surname719	1	5	10	1	9	2
Name720	Surname720	1	1	2	8	4	6
Name721	Surname721	7	10	6	1	7	7
Name722	Surname722	3	4	7	8	6	3
Name723	Surname723	6	7	7	7	8	9
Name724	Surname724	7	5	6	6	9	1
Name725	Surname725	1	5	5	3	3	9
Name726	Surname726	7	6	1	10	10	10
Name727	Surname727	4	9	8	2	6	2
Name728	Surname728	10	10	9	6	3	4
Name729	Surname729	2	1	8	4	9	9
Name730	Surname730	6	10	7	10	4	2
Name731	Surname731	2	10	2	3	5	7
Name732	Surname732	9	1	9	10	6	1
Name733	Surname733	5	7	9	7	8	4
Name734	Surname734	4	2	8	4	2	4
Name735	Surname735	5	3	8	8	4	4
Name736	Surname736	7	6	6	4	7	1
Name737	Surname737	10	6	7	4	4	3
Name738	Surname738	10	10	7	4	6	6
Name739	Surname739	2	5	8	2	8	10
Name740	Surname740	10	7	6	3	3	4
Name741	Surname741	8	1	10	8	7	10
Name742	Surname742	6	7	10	10	4	6
Name743	Surname743	9	2	9	10	7	2
Name744	Surname744	9	5	6	4	5	7
Name745	Surname745	5	2	6	3	2	8
Name746	Surname746	6	5	9	4	9	6
Name747	Surname747	3	4	2	4	3	1
Name748	Surname748	1	1	9	6	3	9
Name749	Surname749	9	8	2	1	9	7
Name750	Surname750	4	3	3	3	8	1
Name751	Surname751	9	5	8	5	4	5
Name752	Surname752	5	5	7	1	6	6
Name753	Surname753	4	8	3	2	10	1
Name754	Surname754	9	9	9	1	10	2
Name755	Surname755	7	8	9	7	6	10
Name756	Surname756	9	1	6	5	7	8
Name757	Surname757	7	5	1	2	9	9
Name758	Surname758	5	10	5	7	5	1
Name759	Surname759	10	3	10	2	3	5
Name760	Surname760	4	10	10	8	8	7
Name761	Surname761	7	8	10	4	10	5
Name762	Surname762	6	5	7	10	9	7
Name763	Surname763	9	3	7	8	6	9
Name764	Surname764	7	9	3	5	4	6
Name765	Surname765	7	7	3	7	5	10
Name766	Surname766	3	5	3	10	7	7
Name767	Surname767	3	3	6	7	6	3
Name768	Surname768	10	6	8	5	5	4
Name769	Surname769	5	10	3	2	4	4
Name770	Surname770	8	4	4	1	6	5
Name771	Surname771	6	2	3	9	6	7
Name772	Surname772	1	2	9	10	3	8
Name773	Surname773	4	9	5	3	7	8
Name774	Surname774	7	4	1	3	10	4
Name775	Surname775	10	10	3	3	3	10
Name776	Surname776	5	10	5	9	5	7
Name777	Surname777	4	5	3	9	4	4
Name778	Surname778	8	9	4	8	6	10
Name779	Surname779	2	5	10	2	8	7
Name780	Surname780	3	6	3	3	9	7
Name781	Surname781	2	6	6	10	7	3
Name782	Surname782	7	9	10	1	7	5
Name783	Surname783	1	7	7	4	6	5
Name784	Surname784	2	9	9	5	5	8
Name785	Surname785	4	3	5	4	3	6
Name786	Surname786	2	3	5	10	6	1
Name787	Surname787	7	9	6	5	2	10
Name788	Surname788	2	10	3	4	3	3
Name789	Surname789	3	10	2	8	6	1
Name790	Surname790	10	10	9	10	9	1
Name791	Surname791	2	9	1	7	9	5
Name792	Surname792	6	6	1	9	7	1
Name793	Surname793	6	5	7	3	10	4
Name794	Surname794	3	6	7	4	6	8
Name795	Surname795	3	9	6	5	9	10
Name796	Surname796	3	9	7	9	9	9
Name797	Surname797	6	10	10	5	3	10
Name798	Surname798	10	9	8	9	4	2
Name799	Surname799	4	1	7	7	4	5
Name800	Surname800	1	9	4	8	7	7
Name801	Surname801	1	6	3	1	8	4
Name802	Surname802	7	9	8	10	5	9
Name803	Surname803	1	9	6	8	3	5
Name804	Surname804	3	10	3	1	2	6
Name805	Surname805	1	2	5	1	1	6
Name806	Surname806	8	5	8	8	6	3
Name807	Surname807	9	4	6	10	8	9
Name808	Surname808	10	7	1	10	1	2
Name809	Surname809	10	2	7	1	2	5
Name810	Surname810	4	5	8	10	7	10
Name811	Surname811	1	8	6	6	5	10
Name812	Surname812	5	3	1	10	8	4
Name813	Surname813	4	8	8	1	6	4
Name814	Surname814	2	3	7	5	3	5
Name815	Surname815	7	1	4	6	3	8
Name816	Surname816	2	2	5	10	7	6
Name817	Surname817	10	9	8	9	5	1
Name818	Surname818	3	10	1	6	9	3
Name819	Surname819	7	3	10	7	10	9
Name820	Surname820	4	10	6	8	1	2
Name821	Surname821	3	1	8	7	6	7
Name822	Surname822	4	3	9	6	6	9
Name823	Surname823	9	1	2	10	5	6
Name824	Surname824	7	8	8	2	9	4
Name825	Surname825	7	4	4	9	4	6
Name826	Surname826	10	7	2	2	10	5
Name827	Surname827	4	10	2	10	3	7
Name828	Surname828	1	8	1	10	4	9
Name829	Surname829	8	4	1	9	7	9
Name830	Surname830	4	1	7	9	6	4
Name831	Surname831	10	9	7	1	6	7
Name832	Surname832	4	9	10	7	1	6
Name833	Surname833	10	10	2	8	6	5
Name834	Surname834	9	9	5	2	2	8
Name835	Surname835	1	3	6	7	9	9
Name836	Surname836	1	6	4	5	4	8
Name837	Surname837	6	7	1	7	2	1
Name838	Surname838	10	9	8	10	6	4
Name839	Surname839	8	2	2	8	4	2
Name840	Surname840	7	10	2	5	3	8
Name841	Surname841	1	9	7	5	10	8
Name842	Surname842	1	2	4	2	2	10
Name843	Surname843	10	10	6	10	4	6
Name844	Surname844	7	2	5	4	10	6
Name845	Surname845	5	6	6	1	4	8
Name846	Surname846	3	3	5	4	1	6
Name847	Surname847	9	1	4	1	7	6
Name848	Surname848	5	1	9	9	5	9
Name849	Surname849	2	8	8	9	1	10
Name850	Surname850	1	1	1	3	1	5
Name851	Surname851	6	5	3	2	7	9
Name852	Surname852	5	7	7	7	3	9
Name853	Surname853	9	6	3	8	7	10
Name854	Surname854	3	2	7	1	8	7
Name855	Surname855	1	1	6	6	9	5
Name856	Surname856	5	4	10	7	4	7
Name857	Surname857	9	5	2	2	6	6
Name858	Surname858	5	3	10	3	5	1
Name859	Surname859	6	8	7	1	5	5
Name860	Surname860	8	6	6	10	2	9
Name861	Surname861	5	5	7	6	2	1
Name862	Surname862	5	10	10	6	9	8
Name863	Surname863	6	5	9	7	1	3
Name864	Surname864	7	3	8	4	2	6
Name865	Surname865	10	6	10	9	10	8
Name866	Surname866	5	1	9	5	8	3
Name867	Surname867	1	9	9	7	1	3
Name868	Surname868	4	10	2	4	8	10
Name869	Surname869	4	4	2	3	6	7
Name870	Surname870	3	1	7	2	8	8
Name871	Surname871	1	6	7	2	3	3
Name872	Surname872	7	2	1	6	6	4
Name873	Surname873	4	2	3	6	8	3
Name874	Surname874	2	8	2	3	3	9
Name875	Surname875	1	10	5	10	4	2
Name876	Surname876	5	2	5	4	1	5
Name877	Surname877	9	8	4	3	9	3
Name878	Surname878	4	10	9	6	1	9
Name879	Surname879	4	6	2	6	9	4
Name880	Surname880	8	2	7	1	10	1
Name881	Surname881	6	4	2	5	3	1
Name882	Surname882	2	6	10	1	5	3
Name883	Surname883	7	1	6	3	5	3
Name884	Surname884	4	9	6	1	6	4
Name885	Surname885	3	10	8	4	8	5
Name886	Surname886	10	9	9	9	1	10
Name887	Surname887	8	4	1	8	7	2
Name888	Surname888	3	5	3	9	7	4
Name889	Surname889	10	9	4	6	2	1
Name890	Surname890	10	7	3	6	5	9
Name891	Surname891	6	4	2	8	1	9
Name892	Surname892	1	5	7	10	7	9
Name893	Surname893	6	3	3	3	2	8
Name894	Surname894	9	6	10	10	3	10
Name895	Surname895	7	10	6	1	7	3
Name896	Surname896	6	3	4	2	7	2
Name897	Surname897	1	3	3	2	1	4
Name898	Surname898	6	6	1	1	9	1
Name899	Surname899	2	7	5	5	10	1
Name900	Surname900	10	3	6	2	5	1
Name901	Surname901	3	2	6	2	7	4
Name902	Surname902	1	9	3	6	7	5
Name903	Surname903	3	5	6	3	2	2
Name904	Surname904	6	1	6	2	8	3
Name905	Surname905	4	8	4	1	10	9
Name906	Surname906	5	5	10	6	1	6
Name907	Surname907	2	3	5	1	7	1
Name908	Surname908	2	10	10	4	8	1
Name909	Surname909	6	7	1	9	6	8
Name910	Surname910	10	2	1	3	7	10
Name911	Surname911	1	10	6	10	10	2
Name912	Surname912	2	5	8	6	2	4
Name913	Surname913	10	9	5	4	5	5
Name914	Surname914	1	2	8	5	2	8
Name915	Surname915	6	1	10	6	9	2
Name916	Surname916	3	8	1	10	7	8
Name917	Surname917	9	9	5	9	6	2
Name918	Surname918	4	6	2	5	8	3
Name919	Surname919	5	7	5	9	2	5
Name920	Surname920	9	7	7	7	1	10
Name921	Surname921	8	10	10	4	5	2
Name922	Surname922	5	1	8	7	3	3
Name923	Surname923	9	7	3	4	9	10
Name924	Surname924	4	8	4	8	7	5
Name925	Surname925	2	4	1	4	3	1
Name926	Surname926	3	4	5	4	8	6
Name927	Surname927	3	1	8	7	1	9
Name928	Surname928	7	9	10	5	4	10
Name929	Surname929	4	4	1	1	8	1
Name930	Surname930	8	3	4	8	4	2
Name931	Surname931	6	10	2	9	2	9
Name932	Surname932	4	9	9	9	5	8
Name933	Surname933	3	2	3	7	8	1
Name934	Surname934	9	4	5	2	10	3
Name935	Surname935	3	2	2	4	6	2
Name936	Surname936	2	1	9	2	3	5
Name937	Surname937	5	6	1	6	6	4
Name938	Surname938	1	9	10	1	8	3
Name939	Surname939	9	1	6	10	9	10
Name940	Surname940	2	2	6	4	8	10
Name941	Surname941	1	8	5	5	8	3
Name942	Surname942	2	5	7	3	8	2
Name943	Surname943	2	3	6	9	6	9
Name944	Surname944	5	7	9	6	9	6
Name945	Surname945	10	8	3	2	10	8
Name946	Surname946	3	4	6	3	8	10
Name947	Surname947	7	6	3	9	4	6
Name948	Surname948	8	4	6	10	8	10
Name949	Surname949	2	1	4	9	3	9
Name950	Surname950	7	2	6	7	10	2
Name951	Surname951	9	10	3	10	9	9
Name952	Surname952	5	3	9	7	2	8
Name953	Surname953	4	2	5	10	8	6
Name954	Surname954	10	9	2	6	6	3
Name955	Surname955	3	7	8	4	8	10
Name956	Surname956	5	8	3	5	10	4
Name957	Surname957	8	5	3	2	10	7
Name958	Surname958	8	10	10	5	7	3
Name959	Surname959	8	8	4	2	3	10
Name960	Surname960	8	2	3	7	7	4
Name961	Surname961	8	5	3	3	6	7
Name962	Surname962	5	2	6	4	3	4
Name963	Surname963	3	10	3	10	8	10
Name964	Surname964	6	10	5	3	10	1
Name965	Surname965	3	6	4	2	10	1
Name966	Surname966	5	8	6	10	1	9
Name967	Surname967	9	3	9	6	5	5
Name968	Surname968	2	5	8	6	10	2
Name969	Surname969	5	10	1	7	1	8
Name970	Surname970	4	2	2	9	7	1
Name971	Surname971	4	2	7	9	5	2
Name972	Surname972	6	3	7	1	5	4
Name973	Surname973	1	7	10	6	7	4
Name974	Surname974	6	3	9	6	1	7
Name975	Surname975	6	7	5	3	3	6
Name976	Surname976	6	7	2	4	7	1
Name977	Surname977	4	1	2	5	4	8
Name978	Surname978	1	10	3	6	3	3
Name979	Surname979	9	5	3	9	6	9
Name980	Surname980	3	8	3	3	1	4
Name981	Surname981	10	2	1	2	6	5
Name982	Surname982	5	6	10	10	3	7
Name983	Surname983	10	1	4	6	7	9
Name984	Surname984	9	10	6	7	10	2
Name985	Surname985	5	3	1	8	9	8
Name986	Surname986	9	2	9	4	4	6
Name987	Surname987	2	8	3	6	2	6
Name988	Surname988	9	3	5	1	9	2
Name989	Surname989	6	4	4	6	9	6
Name990	Surname990	8	10	10	3	5	5
Name991	Surname991	2	7	10	3	7	9
Name992	Surname992	6	3	1	2	3	9
Name993	Surname993	3	10	8	7	9	9
Name994	Surname994	8	9	6	5	6	10
Name995	Surname995	2	1	1	7	2	9
Name996	Surname996	8	2	8	2	1	8
Name997	Surname997	8	10	4	7	1	4
Name998	Surname998	5	5	10	7	6	10
Name999	Surname999	9	1	4	9	7	5
